,gene_name,0528 cell,0528 EV,0618 EV,0622 EV,0618 cell,0622 cell
92,AFP,5373895.252,28340230.531,75967702.237,172578289.88799998,4476120.55806,9373487.1319
93,AGFG1,3081577.6835000003,254012.75228000002,330270.57522999996,480027.18658,2956788.6157,3670683.4566
94,AGK,5746396.5896000005,488036.51700999995,772430.02735,844476.8635,7133270.5594999995,6657347.3041
95,AGL,1296889.783,462057.2542,774045.231,383915.9239,2320942.086,1312284.328
96,AGO2,1509557.6745,328676.3182,562060.0141,359454.6824,2965451.7202,1593054.5674
97,AGPS,9391562.21389,983565.6453699999,1463452.1859,1290341.72971,13124025.03053,10405881.22004
98,AGR2,27057758.2372,1869638.62984,2712590.51556,2897730.2563,40437880.3002,28332310.8822
99,AGRN,66289459.006774,578459095.497967,702879490.425188,661673188.534359,57490800.300928,76620888.841322
100,AGTRAP,5064220.4744,2844226.3777,3225561.446,2255284.6796999997,4668836.7948,5703716.754500001
101,AHCTF1,198017.9011,36140.31634,46839.93262,45805.99756,356053.9239,214125.4063
102,AHCY,127548342.80083999,37275903.30334,50566625.10391,38877868.81895,153574407.22918,152637666.75243
103,AHCYL1,27162869.8559,11019246.0095,11901634.97445,12003015.03813,31154530.8725,34597858.5103
104,AHNAK,1780276519.02553,155273949.637665,121676100.533625,286458214.518164,1844718274.28119,2406772386.51094
105,AHNAK2,118111186.4299,8787833.63775,10011185.948280001,14158598.02437,98113622.7568,124619051.27054
106,AHSA1,17152483.07677,2584072.9405,3123730.06918,3341974.0137,22338048.55918,18836356.79673
107,AHSG,69627390.82492,246749759.8107,929852049.7778,2588713244.9343,21318838.21106,87515126.95302
108,AIFM1,67926578.29848,7462628.059178,14115124.99323,8195206.59643,100362928.76733999,66916078.085930005
109,AIMP1,25230774.46965,7974301.398736,12551666.47701,8006340.57663,30727119.925950002,26190351.16476
110,AIMP2,43836020.51972,15407291.901291,21081195.0365,12384243.109002,48011564.31517,52030161.92016
111,AIP,11369833.0426,1639386.78022,2555156.12097,2052929.2299000002,11662717.7091,13656648.705699999
112,AK1,23519730.80023,3296120.43533,3914638.630896,4571335.315848,25643167.23161,24988881.96513
113,AK2,27562113.4185,1788172.07644,5206301.8388,3995668.739,31599691.1105,29999911.431100003
114,AK3,3851959.0324,247451.14665,531321.28172,865176.4458900001,6064944.8588,3665259.2066
